joke_ids,Text Content,Joke_len,sentiment_score,Lexical Diversity,!,?,Num_Words,Avg rating
1,"A man visits the doctor. The doctor says ""I have bad news for you.You have
cancer and Alzheimer's disease"". 
The man replies ""Well,thank God I don't have cancer!""",162,-0.1071428571428571,0.8571428571428571,1,0,28,0.9
2,"This couple had an excellent relationship going until one day he came home
from work to find his girlfriend packing. He asked her why she was leaving him
and she told him that she had heard awful things about him. 

""What could they possibly have said to make you move out?"" 

""They told me that you were a pedophile."" 

He replied, ""That's an awfully big word for a ten year old.""",381,0.0140845070422535,0.8450704225352113,0,1,71,0.16
3,"Q. What's 200 feet long and has 4 teeth? 

A. The front row at a Willie Nelson Concert.",87,0.0,1.0,0,1,16,0.19
4,"Q. What's the difference between a man and a toilet? 

A. A toilet doesn't follow you around after you use it.",110,0.0,0.9047619047619048,0,1,21,-1.41
5,"Q.	What's O. J. Simpson's Internet address? 
A.	Slash, slash, backslash, slash, slash, escape.",94,-0.6428571428571429,0.8571428571428571,0,1,12,0.24
6,"Bill & Hillary are on a trip back to Arkansas. They're almost out of gas, so Bill pulls into a service station on the outskirts of
town. The attendant runs out of the station to serve them when Hillary realizes it's an old boyfriend from high school. She and
the attendant chat as he gases up their car and cleans the windows. Then they all say good-bye. 

As Bill pulls the car onto the road, he turns to Hillary and says, 'Now aren't you glad you married me and not him ? You could've
been the wife of a grease monkey !' 

To which Hillary replied, 'No, Bill. If I would have married him, you'd be pumping gas and he would be the President !'",644,0.04,0.712,2,1,117,1.33
7,"How many feminists does it take to screw in a light bulb?
That's not funny.",75,0.2666666666666666,1.0,0,1,15,-0.63
8,"Q. Did you hear about the dyslexic devil worshiper? 

A. He sold his soul to Santa.",83,0.0,1.0,0,1,16,-1.0
9,"A country guy goes into a city bar that has a dress code, and the maitre
d' 
demands he wear a tie. Discouraged, the guy goes to his car to sulk when 
inspiration strikes: He's got jumper cables in the trunk! So he wraps
them around his neck, sort of like a string tie (a bulky string tie to be
sure) and returns to the bar. The maitre d' is reluctant, but says to the
guy, ""Okay, you're a pretty resourceful fellow, you can come in... but
just don't start anything""!",467,0.0109890109890109,0.7582417582417582,2,0,91,-0.62
10,"Two cannibals are eating a clown, one turns to other and says: 
""Does this taste funny to you?",94,0.2222222222222222,0.9444444444444444,0,1,18,1.18
11,"Q. What do a hurricane, a tornado, and a redneck
divorce all have in common? 
A. Someone's going to lose their trailer...",121,0.0,0.9090909090909092,0,1,22,1.73
12,"A guy stood over his tee shot for what seemed an eternity, looking up, looking down, measuring the distance,
figuring the wind direction and speed. Driving his partner nuts.

Finally his exasperated partner says, ""What the hell is taking so long? Hit the goddamn ball!""
The guy answers, ""My wife is up there watching me from the clubhouse. I want to make this a perfect shot.""
""Well, hell, man, you don't stand a snowball's chance in hell of hitting her from here!""",465,-0.1707317073170731,0.8414634146341463,2,1,82,1.5
13,"They asked the Japanese visitor if they have elections in his
country.  
""Every Morning"" he answers.",100,0.0,1.0,0,0,16,-1.94
14,"The father was very anxious to marry off his only daughter so he wanted 
to impress her date. ""Do  you like to screw,"" he says. ""Huh"" replied the 
surprised first date. ""My daughter she loves to screw and she's good at it, 
you and her  should go screw,"" carefully explained the father. Now very 
interested the boy replied, ""Yes, sir."" Minutes later the girl came down 
the stairs, kissed her father goodbye and the couple left. After only a 
few minutes she reappeared, furious, dress torn, hair a mess and screamed
""Dammit, Daddy, it's the TWIST, get it straight!""",567,0.0606060606060606,0.7575757575757576,1,0,99,1.32
15,"Q:  What did the blind person say when given some matzah?

A:  Who the hell wrote this?",87,-0.2941176470588235,0.9411764705882352,0,2,17,-2.11
